Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,297,137,2024-06-17,5,131.65
2,140,48,2023-08-26,1,24.7
3,152,406,2024-03-10,2,71.58
4,328,272,2023-04-25,10,51.6
5,53,233,2024-09-28,6,62.34
6,216,497,2023-03-31,3,72.3
7,117,127,2024-11-23,2,23.32
8,475,19,2024-11-04,1,11.31
9,284,120,2024-04-28,10,480.3
10,425,72,2023-10-14,10,465.4
11,173,93,2023-02-15,9,156.87
12,211,471,2023-02-22,5,226.9
13,47,18,2023-05-23,4,157.88
14,102,245,2023-12-23,7,112.42
15,322,110,2023-04-26,2,60.3
16,140,230,2023-02-04,5,30.5
17,500,274,2023-08-31,6,292.8
18,459,202,2023-11-23,10,122.6
19,2,429,2024-08-31,7,298.06
20,405,353,2023-07-07,10,469.7
21,415,146,2023-06-21,7,101.5
22,328,197,2023-12-26,7,301.21
23,423,350,2024-08-02,4,126.68
24,162,454,2023-05-30,7,66.92
25,387,379,2023-04-02,5,28.5
26,284,161,2023-03-02,7,151.2
27,194,138,2023-03-24,9,222.93
28,353,75,2024-06-19,1,47.11
29,145,136,2023-08-07,6,59.34
30,79,7,2022-12-13,5,218.15
31,349,232,2024-10-30,8,76.96
32,158,97,2024-01-01,6,274.44
33,162,237,2023-11-22,6,242.58
34,390,273,2023-07-22,10,124.3
35,498,273,2024-12-07,7,87.01
36,337,414,2023-01-16,7,157.85
37,392,463,2022-12-20,1,11.99
38,174,279,2024-07-06,5,152.5
39,22,282,2024-11-24,3,114.57
40,317,196,2023-11-18,9,60.21
41,445,237,2023-05-24,2,80.86
42,163,422,2024-08-17,10,459.1
43,160,127,2023-02-19,6,69.96
44,387,147,2024-03-17,10,452
45,331,125,2024-02-19,5,162.05
46,84,409,2023-10-31,2,43.12
47,386,186,2024-06-14,8,330.64
48,22,418,2023-04-19,8,255.04
49,100,412,2024-07-13,1,9.83
50,87,307,2023-08-04,10,144.3
51,451,288,2023-05-18,8,223.28
52,490,222,2023-11-18,1,29.59
53,115,38,2024-11-21,1,16.47
54,379,422,2023-08-05,1,45.91
55,485,380,2023-09-18,3,39.51
56,21,384,2024-04-16,8,271.36
57,155,5,2022-12-12,7,76.65
58,425,108,2024-04-30,10,253.8
59,57,129,2023-05-20,8,325.92
60,269,168,2024-03-18,8,113.04
61,195,343,2023-08-31,9,387.27
62,346,419,2023-05-20,3,27.84
63,304,434,2024-08-16,2,91.16
64,183,360,2023-10-31,6,296.04
65,224,412,2024-06-17,1,9.83
66,13,230,2023-04-14,8,48.8
67,45,83,2023-10-20,10,89.4
68,37,223,2023-03-01,6,39.12
69,420,168,2023-11-04,3,42.39
70,68,276,2024-09-22,1,19.85
71,206,26,2024-07-26,2,42.1
72,449,146,2023-11-01,7,101.5
73,214,175,2023-02-16,10,328.5
74,287,434,2023-09-11,7,319.06
75,98,33,2024-02-18,5,175.3
76,98,308,2023-02-14,6,124.5
77,291,118,2024-01-16,7,38.64
78,11,349,2024-01-10,5,221.8
79,322,176,2023-12-25,8,128.88
80,56,183,2023-04-01,5,77
81,102,415,2024-10-03,1,29.51
82,330,313,2023-05-15,3,141.48
83,153,372,2023-12-04,2,35.46
84,222,254,2024-03-29,4,170.28
85,149,211,2023-12-29,1,16.19
86,336,10,2023-07-07,1,24.63
87,23,234,2023-11-10,1,7.15
88,158,314,2023-07-12,3,28.77
89,24,103,2024-06-16,5,216.25
90,486,208,2023-10-29,8,200
91,364,462,2024-12-01,5,246.15
